19.02.2021 17:48 (Init) | Executable Started !
19.02.2021 17:48 (RSCF_Parse_Enviroment) | env_header: total_meshes: 4407 total_indexes: 1425000 total_vertexes: 658089
19.02.2021 17:48 (Materials) | MARE Header: 362 materials in file
19.02.2021 17:48 (Materials) | Not found match with texture hash 0 and material hash f21aa1ec 
19.02.2021 17:48 (Materials) | Not found match with texture hash e6730b9a and material hash 50c817eb 
19.02.2021 17:48 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
19.02.2021 17:48 (Materials) | Not found match with texture hash dafe70e1 and material hash 11971870 
19.02.2021 17:48 (Materials) | Not found match with texture hash 17f3c765 and material hash 2db08136 
19.02.2021 17:48 (Materials) | Not found match with texture hash efc02f89 and material hash 2eaeec 
19.02.2021 17:48 (Materials) | Not found match with texture hash c78b24c3 and material hash 6965a512 
19.02.2021 17:48 (Materials) | Not found match with texture hash d4d4e0bb and material hash 4ca273d1 
19.02.2021 17:48 (Materials) | Not found match with texture hash f3151dfa and material hash da9ab8c8 
19.02.2021 17:48 (Materials) | Not found match with texture hash 850876a1 and material hash 34f363f2 
19.02.2021 17:48 (Materials) | Not found match with texture hash efc02f89 and material hash 222e2df3 
19.02.2021 17:48 (Materials) | Not found match with texture hash db0a5cb4 and material hash f526abf2 
19.02.2021 17:48 (Materials) | Not found match with texture hash 0 and material hash 585a54d5 
19.02.2021 17:48 (Materials) | Not found match with texture hash 0 and material hash b2f045fd 
19.02.2021 17:48 (Materials) | Not found match with texture hash 3f00c4 and material hash a99beb8d 
19.02.2021 17:48 (EMOD) | E:\Aliens vs Predator\Envs\Lab\Lab\EMOD_chunk\723.EMOD
19.02.2021 17:48 (EMOD_Parse) | Opening file Error: 183
19.02.2021 17:48 (Init) | Read EMOD failed 
19.02.2021 17:48 (Helpers) | Bbox: count: 1
19.02.2021 17:48 (Helpers) | Lines: count: 0
19.02.2021 17:48 (Helpers) | Lines CreateBuffer failed ! 
19.02.2021 17:48 (Init) | lines failed !
19.02.2021 17:48 (Console) | Created !!! 
19.02.2021 17:49 (Init) | Executable Started !
19.02.2021 17:49 (RSCF_Parse_Enviroment) | env_header: total_meshes: 4407 total_indexes: 1425000 total_vertexes: 658089
19.02.2021 17:49 (Materials) | MARE Header: 362 materials in file
19.02.2021 17:49 (Materials) | Not found match with texture hash 0 and material hash f21aa1ec 
19.02.2021 17:49 (Materials) | Not found match with texture hash e6730b9a and material hash 50c817eb 
19.02.2021 17:49 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
19.02.2021 17:49 (Materials) | Not found match with texture hash dafe70e1 and material hash 11971870 
19.02.2021 17:49 (Materials) | Not found match with texture hash 17f3c765 and material hash 2db08136 
19.02.2021 17:49 (Materials) | Not found match with texture hash efc02f89 and material hash 2eaeec 
19.02.2021 17:49 (Materials) | Not found match with texture hash c78b24c3 and material hash 6965a512 
19.02.2021 17:49 (Materials) | Not found match with texture hash d4d4e0bb and material hash 4ca273d1 
19.02.2021 17:49 (Materials) | Not found match with texture hash f3151dfa and material hash da9ab8c8 
19.02.2021 17:49 (Materials) | Not found match with texture hash 850876a1 and material hash 34f363f2 
19.02.2021 17:49 (Materials) | Not found match with texture hash efc02f89 and material hash 222e2df3 
19.02.2021 17:49 (Materials) | Not found match with texture hash db0a5cb4 and material hash f526abf2 
19.02.2021 17:49 (Materials) | Not found match with texture hash 0 and material hash 585a54d5 
19.02.2021 17:49 (Materials) | Not found match with texture hash 0 and material hash b2f045fd 
19.02.2021 17:49 (Materials) | Not found match with texture hash c7bd3c8 and material hash 2ddabf5f 
19.02.2021 17:49 (EMOD) | E:\Aliens vs Predator\Envs\Lab\Lab\EMOD_chunk\723.EMOD
19.02.2021 17:49 (EMOD_Parse) | Opening file Error: 183
19.02.2021 17:49 (Init) | Read EMOD failed 
19.02.2021 17:49 (Helpers) | Bbox: count: 1
19.02.2021 17:49 (Helpers) | Lines: count: 0
19.02.2021 17:49 (Helpers) | Lines CreateBuffer failed ! 
19.02.2021 17:49 (Init) | lines failed !
19.02.2021 17:49 (Console) | Created !!! 
19.02.2021 17:50 (Init) | Executable Started !
19.02.2021 17:50 (RSCF_Parse_Enviroment) | Opening file Error: 6
19.02.2021 17:50 (Init) | Read Map Failed
19.02.2021 17:50 (Init) | Executable Started !
19.02.2021 17:50 (RSCF_Parse_Enviroment) | env_header: total_meshes: 4795 total_indexes: 1252080 total_vertexes: 595510
19.02.2021 17:50 (Materials) | MARE Header: 276 materials in file
19.02.2021 17:50 (Materials) | Not found match with texture hash c626aa17 and material hash 3d13f4b5 
19.02.2021 17:50 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
19.02.2021 17:50 (Materials) | Not found match with texture hash 0 and material hash 88f6bd5e 
19.02.2021 17:50 (Materials) | Not found match with texture hash 0 and material hash f395b551 
19.02.2021 17:50 (Materials) | Not found match with texture hash 698c670 and material hash ffbadff0 
19.02.2021 17:50 (EMOD) | E:\Aliens vs Predator\Envs\Jungle\Jungle\EMOD_chunk\595.EMOD
19.02.2021 17:50 (EMOD_Parse) | Opening file Error: 183
19.02.2021 17:50 (Init) | Read EMOD failed 
19.02.2021 17:50 (Helpers) | Bbox: count: 1
19.02.2021 17:50 (Helpers) | Lines: count: 0
19.02.2021 17:50 (Helpers) | Lines CreateBuffer failed ! 
19.02.2021 17:50 (Init) | lines failed !
19.02.2021 17:50 (Console) | Created !!! 
19.02.2021 17:57 (Init) | Executable Started !
19.02.2021 17:57 (RSCF_Parse_Enviroment) | env_header: total_meshes: 4795 total_indexes: 1252080 total_vertexes: 595510
19.02.2021 17:57 (Materials) | MARE Header: 276 materials in file
19.02.2021 17:57 (Materials) | Not found match with texture hash c626aa17 and material hash 3d13f4b5 
19.02.2021 17:57 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
19.02.2021 17:57 (Materials) | Not found match with texture hash 0 and material hash 88f6bd5e 
19.02.2021 17:57 (Materials) | Not found match with texture hash 0 and material hash f395b551 
19.02.2021 17:57 (Materials) | Not found match with texture hash 95d2cf0 and material hash 1bd5dd70 
19.02.2021 17:57 (EMOD) | E:\Aliens vs Predator\Envs\Jungle\Jungle\EMOD_chunk\595.EMOD
19.02.2021 17:57 (EMOD_Parse) | Opening file Error: 183
19.02.2021 17:57 (Init) | Read EMOD failed 
19.02.2021 17:57 (Helpers) | Bbox: count: 1
19.02.2021 17:57 (Helpers) | Lines: count: 0
19.02.2021 17:57 (Helpers) | Lines CreateBuffer failed ! 
19.02.2021 17:57 (Init) | lines failed !
